Référence,Description
A11,Dangerous junction with a non-priority road
A16,Roundabout
A17,Pedestrian crossing
A18,Two-way traffic
A19,Traffic signals
A20,Traffic queue
A21,Cyclists
A22,Children
A23,Equestrians
A26,Wild animals crossing
A27,Domestic animals
A31,Slippery road
A33,Loose chippings
A34,Rockfall
A35,Dangerous shoulder
A36,Speed bump
A36.1,Experimental sign. An actibump is a method of traffic calming. It is being tested in two places in Denmark.
A37,Uneven road
A39,Roadworks
A41.1,Curve to the right
A41.2,Curve to the left
A42.1,"Multiple curves, first to the right"
A42.2,"Multiple curves, first to the left"
A43.1,Road narrows
A43.2,Road narrows to the left
A43.3,Road narrows to the right
A44,Tunnel (formerly used
A46.2,Upward gradient
A72,Level crossing without gates
A73,Level crossing with gates
A74.1,Single track level crossing
A74.2,Multi track level crossing
A75,Distance to level crossing
A91,Opening bridge
A92,Quayside
A95,Side winds
A96,Low airplanes
A97,Low helicopters
A99,Other danger (specified on subpanel
B11,Yield
B13,Stop
B15,Lane merge
B16,Main road
B17,End of main road
B18,Priority for oncoming vehicles
B19,Priority over oncoming vehicles
C11.1,No right turn
C11.2,No left turn
C12,No U-turns
C19,No entry
C21,Driving in both directions prohibited
C22.1,No motor vehicles
C22.2,No motorcycles or large mopeds
C23.1,No heavy goods vehicles
C23.2,No buses
C23.3,No vehicles carrying dangerous goods
C24.1,No tractors or motorized equipment
C24.2,No horse-drawn vehicles or similar
C25.1,No bicycles or small mopeds
C25.2,No small mopeds
C26.1,No riding or leading a horse
C26.2,No pedestrians
C31,Max weight
C32,Max weight of roadtrain
C35,Max axle load
C36,Max bogie load
C41,Max width of vehicle with load
C42,Max height of vehicle with load
C43,Max length of vehicle
C51,No overtaking
C52,No overtaking by heavy goods vehicle
C53,End of no overtaking
C54,End of no overtaking by heavy goods vehicle
C55,Local speed limit
C56,End of local speed limit
C59,End of prohibition
C61,No stopping
C62,No parking
C63,No parking for bicycles
C92,Continuing without stop prohibited
D11.1,Mandatory direction
D11.2,Mandatory direction
D11.3,Mandatory direction
D11.4,Mandatory direction
D11.5,Mandatory direction
D11.6,Mandatory direction
D11.7,Mandatory direction
D11.8,Mandatory direction
D12,Mandatory direction in the roundabout
D15.2,Mandatory passage
D15.3,Mandatory passage
D16,Passage
D21,Cycleway
D22,Footway
D23,Bridleway
D26,Segregated path
D26.1,Segregated path
D26.2,Segregated path
D26.3,Segregated path
D26.4,Segregated path
D26.5,Segregated path
D27,Combined path
D27.1,Combined path
D55,Minimum speed
D56,End of minimum speed
E11.1,Continue straight
E11.4,Turn left
E11.5,Turn right
E11.6,Continue straight or turn left
E11.7,Continue straight or turn right
E11.8,Turn left or right
E11.9,"Continue straight, turn left or right"
E15,Lanes at intersection
E16.1,Reduction of number of lanes with lane-merge
E16.2,Reduction of number of lanes with lane-change
E17,Pedestrian crossing.
E18,Dead end.
E19,One way
E21.1,Recommended route for cyclists
E21.2,Recommended route for pedestrians
E21.3,Recommended route for equestrians
E21.4,Recommended route for mopeds
E22.1,Recommended route for heavy goods vehicles
E22.2,Recommended route for hazardous goods vehicles
E22.3,Recommended route for tractors and motorized equipment
E22.4,Recommended route for busses
E23,Instructions for disabled
E24,Instructions for visually impaired
E26.1,Pedestrian overpass
E26.2,Pedestrian underpass
E30,Light rail stop
E31,Taxi stand
E33.1,Parking
E33.2,Indoor parking
E34,Breakdown bay (formerly used
E35,Tunnel
E37,Crawler lane begins
E39,Advisory maxspeed
E40,End of advisory maxspeed
E41,Recommended max speed on slip road
E42,Motorway
E43,Expressway
E44,End of Motorway
E45,End of Expressway
E47,Bicycle boulevard
E48,End of Bicycle boulevard
E49,Pedestrian zone
E50,End of Pedestrian zone
E51,Living street
E52,End of living street
E53,End of zone with traffic calming
E55,Urban area
E56,End of urban area
E68,Zone with no parking
E68.2,Zone with no stopping
E68.3,Zone with parking
E68.4,Zone with local speed limit
E68.5,No heavy goods vehicles permitted zone
E68.9,Low-emission zone
E69,End of zone with no parking
E69.3,End of zone with parking
E69.4,End of zone with local speed limit
E69.5,End of zone with no heavy goods vehicles
E69.9,End of low-emission zone
E90,Traffic enforcement camera
E91,Speed feedback sign
E92,Variable-message sign
E93,Video surveillance
F11,Flag-type direction sign
F12,Flag-type direction sign
F13,Flag-type direction sign
F14,Temporary flag-type direction sign
F16,Exit sign
F18,Stack-type direction signs
F21.1,Bicycle route
F21.2,Flag-type direction sign
F21.2.2,Flag-type direction sign
F21.2.3,Flag-type direction sign
F21.3,Stack-type direction sign
F21.4,Map-type advance direction sign
F33.1,Flag-type direction sign
F33.2,Stack-type direction sign
F34.1,Traffic diversion route
F34.2,Flag-type traffic diversion sign
F34.3,Map-type traffic diversion sign
G11,Portal sign
G14,Map-type advance direction sign
G15,Lane diagram sign
G18,Stack-type advance direction sign
H41,Distance sign
H42,Split distance sign
H45,Locality
H46,Regional border
H47,Municipal border
H49,National park
H49.1,Nature park
H50,Leaving national park
H50.1,Leaving nature park
H51,National Border
I11,Exit from motorway
